date,week,wallet_type,pnl,cumulative_pnl
2023-03-06,2023-W10,active_retail,205692.863816,205692.863816
2023-03-13,2023-W11,active_retail,162937.24554899998,368630.109365
2023-03-20,2023-W12,active_retail,-38712.451525,329917.65784
2023-03-27,2023-W13,active_retail,-25450.535694,304467.122146
2023-06-19,2023-W25,active_retail,-85202.263506,219264.85864
2023-07-24,2023-W30,active_retail,-31961.724108,187303.134532
2023-07-31,2023-W31,active_retail,-21790.365706,165512.76882599998
2023-08-07,2023-W32,active_retail,-5458.604666999997,160054.164159
2023-10-02,2023-W40,active_retail,-3309.0035,156745.160659
2023-10-09,2023-W41,active_retail,-13461.807927,143283.352732
2023-10-16,2023-W42,active_retail,6562.276725999997,149845.62945799998
2023-10-23,2023-W43,active_retail,-13808.48295,136037.146508
2023-10-30,2023-W44,active_retail,20511.235707,156548.382215
2023-11-13,2023-W46,active_retail,-4627.529797,151920.852418
2023-11-27,2023-W48,active_retail,-18891.086562,133029.76585599998
2023-12-04,2023-W49,active_retail,-7789.559410000002,125240.206446
2023-12-11,2023-W50,active_retail,31068.015838,156308.222284
2023-12-25,2023-W52,active_retail,-134052.137568,22256.084715999983
2024-01-01,2024-W01,active_retail,-53575.25250399998,-31319.167788
2024-01-08,2024-W02,active_retail,3597.9432159999988,-27721.224572
2024-01-15,2024-W03,active_retail,-8616.67337299999,-36337.89794499999
2024-01-22,2024-W04,active_retail,-205079.205617,-241417.10356199997
2024-01-29,2024-W05,active_retail,129944.535918,-111472.56764399998
2024-02-05,2024-W06,active_retail,-324008.274524,-435480.842168
2024-02-12,2024-W07,active_retail,53426.543366,-382054.298802
2024-02-19,2024-W08,active_retail,-220888.007192,-602942.305994
2024-02-26,2024-W09,active_retail,-142261.22157499997,-745203.5275689999
2024-03-04,2024-W10,active_retail,63715.367254,-681488.160315
2024-03-11,2024-W11,active_retail,-93342.211747,-774830.372062
2024-03-18,2024-W12,active_retail,154387.18245700002,-620443.189605
2024-03-25,2024-W13,active_retail,245352.132103,-375091.05750199995
2024-04-01,2024-W14,active_retail,-33475.302554,-408566.36005599995
2024-04-08,2024-W15,active_retail,-263189.697115,-671756.0571709999
2024-04-15,2024-W16,active_retail,-18800.926024,-690556.983195
2024-04-22,2024-W17,active_retail,74007.61796999999,-616549.365225
2024-04-29,2024-W18,active_retail,-7194.453500999999,-623743.8187259999
2024-05-06,2024-W19,active_retail,-65005.988504,-688749.8072299999
2024-05-13,2024-W20,active_retail,-908441.417547,-1597191.224777
2024-05-20,2024-W21,active_retail,-12369.184505,-1609560.4092819998
2024-05-27,2024-W22,active_retail,-76226.104541,-1685786.5138229998
2024-06-03,2024-W23,active_retail,-622926.116132,-2308712.629955
2024-06-10,2024-W24,active_retail,515253.142759,-1793459.4871959998
2024-06-17,2024-W25,active_retail,-135844.190421,-1929303.677617
2024-06-24,2024-W26,active_retail,-66417.058104,-1995720.735721
2024-07-01,2024-W27,active_retail,-564210.5165799999,-2559931.252301
2024-07-08,2024-W28,active_retail,-1437517.494122,-3997448.7464229995
2024-07-15,2024-W29,active_retail,-1271702.952736,-5269151.699159
2024-07-22,2024-W30,active_retail,-77373.90118399999,-5346525.600343
2024-07-29,2024-W31,active_retail,-58878.222552000014,-5405403.822895
2024-08-05,2024-W32,active_retail,196282.785273,-5209121.037622
2024-08-12,2024-W33,active_retail,-42769.895033000015,-5251890.932655
2024-08-19,2024-W34,active_retail,232.79012000003277,-5251658.142535
2024-08-26,2024-W35,active_retail,720979.8308609999,-4530678.311674
2024-09-02,2024-W36,active_retail,-934375.023785,-5465053.3354589995
2024-09-09,2024-W37,active_retail,378293.883359,-5086759.4521
2024-09-16,2024-W38,active_retail,-373011.017876,-5459770.469976
2024-09-23,2024-W39,active_retail,-518130.144315,-5977900.614291
2024-09-30,2024-W40,active_retail,-7563773.926034,-13541674.540325
2024-10-07,2024-W41,active_retail,-3877912.535658,-17419587.075983
2024-10-14,2024-W42,active_retail,-5641722.464741,-23061309.540724
2024-10-21,2024-W43,active_retail,-10866934.518734,-33928244.059458
2024-10-28,2024-W44,active_retail,-1026349.51811,-34954593.577568
2024-11-04,2024-W45,active_retail,-1093574.225559,-36048167.803127
2024-11-11,2024-W46,active_retail,-471992.29155,-36520160.094677
2024-11-18,2024-W47,active_retail,-349520.8378229999,-36869680.9325
2024-11-25,2024-W48,active_retail,-313882.54274500004,-37183563.475245
2024-12-02,2024-W49,active_retail,-570177.927129,-37753741.402374
2024-12-09,2024-W50,active_retail,-431198.451089,-38184939.853463
2024-12-16,2024-W51,active_retail,-888621.994511,-39073561.847974
2024-12-23,2024-W52,active_retail,-674932.49464,-39748494.342614
2024-12-30,2025-W01,active_retail,-711931.111533,-40460425.454147
2025-01-06,2025-W02,active_retail,-1195259.7631990002,-41655685.217346
2025-01-13,2025-W03,active_retail,-218668.14192500003,-41874353.359271
2025-01-20,2025-W04,active_retail,-1156083.138209,-43030436.49748
2025-01-27,2025-W05,active_retail,-792362.02053,-43822798.51801
2025-02-03,2025-W06,active_retail,-1136314.576454,-44959113.094464004
2025-02-10,2025-W07,active_retail,1144177.968376,-43814935.126088
2025-02-17,2025-W08,active_retail,-16451.660147999984,-43831386.786236
2025-02-24,2025-W09,active_retail,-12902.121250000013,-43844288.907486
2025-03-03,2025-W10,active_retail,-485410.276428,-44329699.183914
2025-03-10,2025-W11,active_retail,-576417.413269,-44906116.597183004
2025-03-17,2025-W12,active_retail,-2518782.475807,-47424899.07299
2025-03-24,2025-W13,active_retail,-803417.637542,-48228316.710532
2025-03-31,2025-W14,active_retail,-884521.681352,-49112838.391884
2025-04-07,2025-W15,active_retail,-997467.449192,-50110305.841076
2025-04-14,2025-W16,active_retail,-1041548.299793,-51151854.140869
2025-04-21,2025-W17,active_retail,42905.89624399995,-51108948.244625
2025-04-28,2025-W18,active_retail,2285256.473701,-48823691.770924
2025-05-05,2025-W19,active_retail,628948.21609,-48194743.554834
2025-05-12,2025-W20,active_retail,-293119.110799,-48487862.665633
2025-05-19,2025-W21,active_retail,-128167.28303,-48616029.948663004
2025-05-26,2025-W22,active_retail,108381.26585400004,-48507648.682809
2025-06-02,2025-W23,active_retail,-491640.01851,-48999288.701319
2025-06-09,2025-W24,active_retail,-1684683.285078,-50683971.986397
2025-06-16,2025-W25,active_retail,-514368.018059,-51198340.004456
2025-06-23,2025-W26,active_retail,-453661.827671,-51652001.832127
2025-06-30,2025-W27,active_retail,-589483.424829,-52241485.256956
2025-07-07,2025-W28,active_retail,-167208.084616,-52408693.341572
2025-07-14,2025-W29,active_retail,-170963.29797499996,-52579656.639547
2025-07-21,2025-W30,active_retail,-232170.245194,-52811826.884741
2025-07-28,2025-W31,active_retail,-422414.9634100001,-53234241.848151
2025-08-04,2025-W32,active_retail,-521342.692152,-53755584.540303
2025-08-11,2025-W33,active_retail,-397166.717883,-54152751.258186
2025-08-18,2025-W34,active_retail,-320938.720216,-54473689.978402
2025-08-25,2025-W35,active_retail,-567222.962271,-55040912.940673
2025-09-01,2025-W36,active_retail,-599049.066052,-55639962.006725
2025-09-08,2025-W37,active_retail,-831988.152726,-56471950.159451
2025-09-15,2025-W38,active_retail,287512.212152,-56184437.947299
2025-09-22,2025-W39,active_retail,-352138.209379,-56536576.156678
2025-09-29,2025-W40,active_retail,-414508.262106,-56951084.418784
2025-10-06,2025-W41,active_retail,-1660428.69493,-58611513.113714
2025-10-13,2025-W42,active_retail,-1257519.056104,-59869032.169818
2025-10-20,2025-W43,active_retail,-1496749.1340309998,-61365781.303849
2025-10-27,2025-W44,active_retail,-1775897.335788,-63141678.639637
2025-11-03,2025-W45,active_retail,-1002163.472679,-64143842.112316
2025-11-10,2025-W46,active_retail,-1328045.245938,-65471887.358254
2025-11-17,2025-W47,active_retail,-1161991.222828,-66633878.581082
2025-11-24,2025-W48,active_retail,-1186855.77213,-67820734.353212
2025-12-01,2025-W49,active_retail,-1179742.608017,-69000476.961229
2025-12-08,2025-W50,active_retail,-1069667.224642,-70070144.185871
2025-12-15,2025-W51,active_retail,-1854900.341333,-71925044.527204
2025-12-22,2025-W52,active_retail,-586503.931528,-72511548.458732
2025-12-29,2026-W01,active_retail,-143236.15714199992,-72654784.615874
2026-01-05,2026-W02,active_retail,-1742676.528676,-74397461.14455
2026-01-12,2026-W03,active_retail,-2112934.628911,-76510395.773461
2026-01-19,2026-W04,active_retail,-1811706.759639,-78322102.5331
2026-01-26,2026-W05,active_retail,-1573461.9485860004,-79895564.481686
2026-02-02,2026-W06,active_retail,-758100.388616,-80653664.870302
2026-02-09,2026-W07,active_retail,-306316.617625,-80959981.487927
2026-02-16,2026-W08,active_retail,-191243.343113,-81151224.83104
2026-02-23,2026-W09,active_retail,-112574.608655,-81263799.439695
2026-03-02,2026-W10,active_retail,-243321.980414,-81507121.420109
2026-03-09,2026-W11,active_retail,-199330.715317,-81706452.135426
2026-03-16,2026-W12,active_retail,-95919.049409,-81802371.184835
2026-03-23,2026-W13,active_retail,-130708.982529,-81933080.167364
2026-03-30,2026-W14,active_retail,-33104.004870999976,-81966184.172235
2026-04-06,2026-W15,active_retail,-30551.202528999995,-81996735.374764
