wallet,wallet_type,n_participations,pnl
0x56687bf447db6ffa42ffe2204a05edaa20f55839,bot,19695,22029972.635796994
0x23786fdad0073692157c6d7dc81f281843a35fcb,bot,12771,5134848.268745
0x1f2dd6d473f3e824cd2f8a89d9c69fb96f6ad0cf,bot,30201,16578002.75044905
0x863134d00841b2e200492805a01e1e2f5defaa53,bot,7646,7527260.035917001
0x16f91db2592924cfed6e03b7e5cb5bb1e32299e3,bot,7508,4042384.9024389964
0x8119010a6e589062aa03583bb3f39ca632d9f887,bot,8592,6080132.347061996
0x94a428cfa4f84b264e01f70d93d02bc96cb36356,bot,10330,4243778.292772001
0x885783760858e1bd5dd09a3c3f916cfa251ac270,bot,7563,5634963.922754999
0xd235973291b2b75ff4070e9c0b01728c520b0f29,bot,18074,7698903.293884999
0x78b9ac44a6d7d7a076c14e0ad518b301b63c6b76,bot,6649,8705078.460843997
0xed2239a9150c3920000d0094d28fa51c7db03dd0,bot,6032,3092634.863375002
0x0562c423912e325f83fa79df55085979e1f5594f,bot,11137,1897573.7760499998
0xd4c38e00d99e16f4799550bdbc76faa3606e899f,bot,3741,617816.4838310003
0xe9ad918c7678cd38b12603a762e638a5d1ee7091,bot,5793,5936332.018990998
0xd0bfb8270d9f3a8c3312a5c9c6e2cd5b647340aa,bot,16915,-402320.1476770011
0xd0c042c08f755ff940249f62745e82d356345565,bot,3395,4800670.783248001
0xa10593ca2905602c5acf450c5b214d1d0e7befaa,bot,6267,54423.59243500025
0x73f8dd50a114884493dbf4a5ea1503f96f348234,bot,2161,731609.0301889997
0x97e1e8027dd31b5db1467bb870c4bc0d1637ae74,bot,2825,67763.97100100001
0x6b88b6a431c5ec9b3afdb76e69393d0404909856,bot,2226,365020.4125670002
0x27b0dceebc77ebc59573b818144743b9f1a2209b,bot,1185,170031.61215399986
0x9f35a5dd9eecd1e51bf5f7923580193f62ea0d49,bot,12036,9542.41982699995
0x9707eafc9c59ae1631f5c0d7cf342c122592e3bc,bot,1647,16827.98871699995
