wallet_a,wallet_b,n_trades,n_markets,total_volume,first_trade_date,last_trade_date,span_days
0x65d7ef90888c1cea25ed5720af69755b34b156d0,0xa128235e5cd1182d466e93f7c82363199f10d695,4568,8,31249134.876179893,2024-11-11,2024-11-16,5
0x492442eab586f242b53bda933fd5de859c8a3782,0xe20a1538293903b746ffe6c4ce2d5c3c0300e469,544,173,26510434.865100008,2025-12-21,2026-03-27,96
0x492442eab586f242b53bda933fd5de859c8a3782,0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2,477,283,26305811.145640012,2025-12-21,2026-03-05,74
0x492442eab586f242b53bda933fd5de859c8a3782,0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee,414,166,21144335.7168,2025-12-21,2026-05-12,142
0xc2e7800b5af46e6093872b177b7a5e7f0563be51,0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2,207,75,17073209.3915,2025-11-28,2026-02-10,74
0x7fb7ad0d194d7123e711e7db6c9d418fac14e33d,0xf29bb8e0712075041e87e8605b69833ef738dd4c,1617,176,14193019.056300001,2025-08-11,2025-09-28,48
0x2a2c53bd278c04da9962fcf96490e17f3dfb9bc1,0x492442eab586f242b53bda933fd5de859c8a3782,235,0,12811486.916419998,2026-03-06,2026-05-18,73
0x204f72f35326db932158cba6adff0b9a1da95e14,0x4133bcbad1d9c41de776646696f41c34d0a65e70,47136,6533,12190352.907401962,2025-10-28,2026-04-30,184
0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee,0xc2e7800b5af46e6093872b177b7a5e7f0563be51,110,47,10626676.681330997,2025-11-30,2026-04-13,134
0x509cc3a3f71f73a7cab7bacb54b15ab74358111c,0x7267e0e676b3fc4ee9b36c1399d5294445c04661,522,4,10015778.30187,2024-11-30,2024-12-08,8
0x42592084120b0d5287059919d2a96b3b7acb936f,0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2,314,86,9572420.475929003,2025-11-19,2026-02-11,84
0x22f9560d03ac552a2c6c6916fea07fe23558bf76,0x450a3493210dd1e0aff0545266efdcef6a679478,519,3,9510596.7878,2024-12-02,2024-12-09,7
0x37e4728b3c4607fb2b3b205386bb1d1fb1a8c991,0x492442eab586f242b53bda933fd5de859c8a3782,214,59,9429524.564499997,2025-12-26,2026-05-07,132
0x55497f0058fb8fb7fae994731ad8c230ca60e2c8,0x728cbbf18bf1c9a120f9805b7769b0951e106157,506,4,9170979.63175,2024-12-02,2024-12-09,7
0xc257ea7e3a81ca8e16df8935d44d513959fa358e,0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2,276,48,8769237.956429997,2026-01-08,2026-03-06,57
0x2005d16a84ceefa912d4e380cd32e7ff827875ea,0x204f72f35326db932158cba6adff0b9a1da95e14,35623,4121,8599728.515027981,2025-08-05,2026-05-19,287
0x461f3e886dca22e561eee224d283e08b8fb47a07,0x7fb7ad0d194d7123e711e7db6c9d418fac14e33d,1918,77,8514219.095500002,2025-07-23,2025-08-05,13
0x6480542954b70a674a74bd1a6015dec362dc8dc5,0xd99f3bec8e060ada0aef0c4057695dd5bc22fcdc,11,0,8445545.00791,2026-04-27,2026-05-03,6
0x958a9908ce9f6f7e9898853f0d5e77e87e0851d5,0xf8dfd25a6e1c78860997d62cc6826f10bb0598a8,460,6,8081538.716540001,2024-11-24,2024-12-01,7
0x5d9d41132e4b5ae88a9d5756c7c7e3ebb1b202c7,0xf29bb8e0712075041e87e8605b69833ef738dd4c,355,177,8053614.946500003,2025-08-11,2025-09-15,35
