week,n_self_matched,vol_self_matched
2022-W47,34,324.35
2022-W48,25,337.55866399999996
2022-W49,28,218.96273700000006
2022-W50,4,64.2867
2022-W51,14,17102.744153
2022-W52,6,147.4
2023-W01,6,61.010783999999994
2023-W02,16,1219.629999
2023-W03,12,1972.1581449999999
2023-W04,17,7494.335416999999
2023-W05,34,12397.043974999999
2023-W06,70,15005.263863
2023-W07,33,6625.172662
2023-W08,43,6746.331578
2023-W09,114,10927.213997999996
2023-W10,21,7142.1450079999995
2023-W11,38,39766.310115999986
2023-W12,41,15014.027242
2023-W13,75,16604.29461
2023-W14,89,28894.570028000002
2023-W15,126,12781.3
2023-W16,55,32260.368297000005
2023-W17,4,650.67
