total_trades,total_usd_volume,participations_bot,participations_active_retail,participations_sophisticated,participations_casual,participations_one_shot,participation_volume_bot,participation_volume_active_retail,participation_volume_sophisticated,participation_volume_casual,participation_volume_one_shot,participations_unclassified,participation_volume_unclassified,active_wallets,flagged_active,total_participations,share_bot,share_active_retail,share_sophisticated,share_casual,share_one_shot,new_wallets,date,total_usd_volume_ma4w,total_usd_volume_ma13w,total_usd_volume_ma52w,total_usd_volume_z52w,new_wallets_ma4w,new_wallets_ma13w,new_wallets_ma52w,new_wallets_z52w,week
41,353.85,0.0,81.0,0.0,1.0,0.0,0.0,697.5,0.0,10.2,0.0,0.0,0.0,5,1,82,0.0,0.9878048780487805,0.0,0.012195121951219513,0.0,5,2022-11-21,353.85,353.85,353.85,,5.0,5.0,5.0,,2022-W47
61,499.967241,3.0,118.0,0.0,0.0,1.0,13.049998,984.884485,0.0,0.0,1.999999,0.0,0.0,8,1,122,0.02459016393442623,0.9672131147540983,0.0,0.0,0.00819672131147541,4,2022-11-28,426.9086205,426.9086205,426.9086205,,4.5,4.5,4.5,,2022-W48
54,320.5287880000001,0.0,107.0,1.0,0.0,0.0,0.0,639.4833510000001,1.574225,0.0,0.0,0.0,0.0,7,2,108,0.0,0.9907407407407407,0.009259259259259259,0.0,0.0,2,2022-12-05,391.44867633333337,391.44867633333337,391.44867633333337,,3.6666666666666665,3.6666666666666665,3.6666666666666665,,2022-W49
1186,108377.0938120001,1212.0,559.0,412.0,162.0,27.0,118955.373451,31749.074166,50188.944909,14083.103416999998,1777.6916810000005,0.0,0.0,333,3,2372,0.5109612141652614,0.23566610455311973,0.1736930860033727,0.06829679595278246,0.011382799325463743,284,2022-12-12,27387.85996025002,27387.85996025002,27387.85996025002,,73.75,73.75,73.75,,2022-W50
267,38227.58609699999,300.0,167.0,39.0,26.0,2.0,64877.493305,7111.849894000003,2803.987599,1661.4234729999998,0.417923,0.0,0.0,119,0,534,0.5617977528089888,0.31273408239700373,0.07303370786516854,0.04868913857677903,0.003745318352059925,102,2022-12-19,36856.29398450002,29555.805187600014,29555.805187600014,,98.0,79.4,79.4,,2022-W51
161,13301.911977000002,176.0,94.0,38.0,12.0,2.0,20019.712142000004,4443.588365,1072.363569,1063.729878,4.43,0.0,0.0,78,1,322,0.546583850931677,0.2919254658385093,0.11801242236024845,0.037267080745341616,0.006211180124223602,20,2022-12-26,40056.780168500016,26846.822985833347,26846.822985833347,,102.0,69.5,69.5,,2022-W52
569,44043.333257000006,612.0,321.0,171.0,32.0,2.0,50243.60302099999,19912.923673,13732.600742,4196.205745,1.333333,0.0,0.0,136,0,1138,0.5377855887521968,0.2820738137082601,0.15026362038664323,0.028119507908611598,0.0017574692442882249,51,2023-01-02,50987.48128575002,29303.467310285727,29303.467310285727,,114.25,66.85714285714286,66.85714285714286,,2023-W01
814,55032.85318099994,1015.0,403.0,171.0,37.0,2.0,80029.1767689999,17430.654388999996,12046.577314,542.003276,17.294614000000003,0.0,0.0,136,0,1628,0.6234643734643734,0.24754299754299755,0.10503685503685503,0.022727272727272728,0.0012285012285012285,41,2023-01-09,37651.42112799999,32519.640544125003,32519.640544125003,,53.5,63.625,63.625,,2023-W02
992,108914.46982499996,1448.0,294.0,221.0,17.0,4.0,164108.19664399992,16525.714002,36730.387402,410.108015,54.533587,0.0,0.0,147,0,1984,0.7298387096774194,0.14818548387096775,0.11139112903225806,0.008568548387096774,0.0020161290322580645,51,2023-01-16,55323.14205999998,41007.95490866667,41007.95490866667,,40.75,62.22222222222222,62.22222222222222,,2023-W03
1065,268097.6960570003,1440.0,301.0,310.0,68.0,11.0,365017.49752100033,74453.97165200001,70575.22959399999,24835.025904,1313.6674429999998,0.0,0.0,210,0,2130,0.676056338028169,0.14131455399061033,0.14553990610328638,0.03192488262910798,0.005164319248826291,83,2023-01-23,119022.08808000005,63716.92902350003,63716.92902350003,,56.5,64.3,64.3,,2023-W04
1626,363660.1907390002,2291.0,545.0,367.0,47.0,2.0,530198.2203510002,103662.612569,84532.33341899999,7455.634938999999,1471.5802,0.0,0.0,212,2,3252,0.7044895448954489,0.16758917589175892,0.11285362853628536,0.014452644526445265,0.0006150061500615006,70,2023-01-30,198926.30245050008,90984.49827036368,90984.49827036368,,61.25,64.81818181818181,64.81818181818181,,2023-W05
1818,448085.3210130002,2764.0,530.0,263.0,66.0,13.0,720917.6486430003,85520.60140899997,77929.721548,11034.245541,768.4248849999999,0.0,0.0,263,1,3636,0.7601760176017601,0.14576457645764576,0.07233223322332233,0.018151815181518153,0.0035753575357535755,67,2023-02-06,297189.4194085002,120742.9001655834,120742.9001655834,,67.75,65.0,65.0,,2023-W06
1469,261220.06957,1921.0,572.0,373.0,66.0,6.0,417159.56661499984,60329.14939600002,41261.70564499999,1938.877775,1750.839709,0.0,0.0,238,3,2938,0.6538461538461539,0.19469026548672566,0.1269571136827774,0.0224642614023145,0.0020422055820285907,96,2023-02-13,335265.81934475014,131548.83627361545,131548.83627361545,0.8513480485103679,79.0,67.38461538461539,67.38461538461539,0.38924668059867573,2023-W07
2048,272395.6833390005,2745.0,826.0,420.0,88.0,17.0,468619.64867800055,36237.57472899997,33199.72965499998,5624.971225000001,1109.442391,0.0,0.0,292,2,4096,0.670166015625,0.20166015625,0.1025390625,0.021484375,0.004150390625,105,2023-02-20,336340.31616525026,152475.13114584624,141609.32534971437,0.8655535731732804,84.5,75.07692307692308,70.07142857142857,0.48958940616376867,2023-W08
2493,246786.59955099976,3450.0,924.0,450.0,141.0,21.0,358890.7314340003,65324.936900999965,64287.60890399999,4781.172421000002,288.749442,0.0,0.0,336,1,4986,0.6919374247894103,0.18531889290012032,0.09025270758122744,0.028279181708784597,0.00421179302045728,185,2023-02-27,307121.91836825013,171420.25670815393,148621.14362980006,0.6627615974033496,113.25,89.0,77.73333333333333,1.432544067256425,2023-W09
5654,855156.039475,6941.0,2543.0,1216.0,530.0,78.0,884590.3913349994,488356.41185199976,234904.5372,93190.05407300002,9270.684489999996,0.0,0.0,837,7,11308,0.6138132295719845,0.2248850371418465,0.10753448885744606,0.04686947293951185,0.006897771489211178,569,2023-03-06,408889.59798375005,237176.83445330776,192779.57462012506,2.9138271294637423,238.75,132.6153846153846,108.4375,3.2311680111747614,2023-W10
